t_start_sec,t_end_sec,t_mid_sec,KQ_naive,C_naive,H_norm_naive,gfp,mean_amplitude,variance,band_power_delta,relative_power_delta,band_power_theta,relative_power_theta,band_power_alpha,relative_power_alpha,band_power_beta,relative_power_beta,band_power_gamma,relative_power_gamma,dKQ_dt,KQ_local_variance,KQ_zscore
0.0,2.0,1.0,0.5990998023054036,0.7022643652537564,0.1469027449670969,0.00042035687050186605,-4.701512192513728e-06,3.160704407005817e-07,3.4131642508848163e-07,0.9432045161208106,2.026564527227571e-11,5.600271987484221e-05,1.4645844719046584e-11,4.047278673397497e-05,1.989803443535575e-11,5.4986852556215605e-05,4.264346623051749e-12,1.1784229229883237e-05,0.0,0.0004096398673684316,4.940526001941216
1.0,3.0,2.0,0.6035759009030977,0.7145579345169928,0.155315654970529,0.00020029698298936803,-7.94176280445809e-06,6.630718319993346e-08,8.559841926264334e-08,0.7197941023260578,1.2545497681307757e-11,0.00010549464954537406,1.1060386325932573e-11,9.300640029842758e-05,1.1776464705592502e-11,9.902787825237104e-05,3.2758455225266834e-12,2.754646998808509e-05,0.004476098597694045,0.000761069890860918,5.024836217659149
2.0,4.0,3.0,0.5664968842222579,0.6724396394711768,0.15754983649124998,8.671416133551253e-05,3.595782293032725e-06,1.3491512070303636e-08,1.4836113293114397e-08,0.7032371018616925,9.766913878391362e-12,0.00046295522784666317,1.216114777298391e-11,0.0005764427748845876,1.4889051997307484e-11,0.0007057464154654338,3.1465241328037e-12,0.00014914637468545834,-0.037079016680839794,0.00450925517988102,4.326428926858864
3.0,5.0,4.0,0.5455438089423846,0.659968558965137,0.17337909278917155,3.4543718455631106e-05,-1.718950756131167e-06,2.1599950284308276e-09,2.3055139594866258e-09,0.7095851394970698,1.2426421502386476e-11,0.00382457195669452,1.2452794747758081e-11,0.0038326890461265737,1.2690779201537898e-11,0.003905935287442366,3.470231643474434e-12,0.001068058943945959,-0.020953075279873223,0.010499745579536094,3.931764185177283
4.0,6.0,5.0,0.4383499723637411,0.6475267379006916,0.3230395801339574,1.3985119010678271e-05,1.1151568380501402e-06,3.457716009169339e-10,3.6091588030355376e-10,0.6614776702023931,1.5847281435813667e-11,0.029044504205210066,2.769723691341101e-11,0.050762808577770525,2.0815391986342054e-11,0.03814993395107622,3.5041718262461014e-12,0.006422359175951485,-0.10719383657864351,0.012640307334470038,1.9126988566712926
5.0,7.0,6.0,0.35511824893212424,0.6866934529536937,0.4828576748407252,7.323457631370228e-06,1.5932017003931983e-07,1.1036810815411097e-10,8.150776486184403e-11,0.4725402180314266,1.1445445276588376e-11,0.06635482172322045,3.113373516421662e-11,0.1804974290187985,2.5578524031923816e-11,0.14829116395787167,4.87787127774801e-12,0.02827939596949132,-0.08323172343161689,0.008686348807115496,0.3449754466664083
6.0,8.0,7.0,0.31241896866311286,0.7120007585916097,0.5612097811790246,6.242958936588114e-06,1.801883696149078e-07,8.431910303454485e-11,7.053650270976038e-11,0.3964503643317502,2.2477102959004e-11,0.12633254151947546,4.190952885944045e-11,0.23555247775274352,3.258835840000525e-11,0.1831628456802976,4.999057328514116e-12,0.028097198231668036,-0.042699280269011375,0.002628965531741144,-0.45929314838541924
7.0,9.0,8.0,0.35092883069562525,0.7149255703789361,0.5091393492757289,6.493894567069841e-06,-9.47618244701785e-07,7.433737126081639e-11,8.609562910486964e-11,0.5084441423128672,2.1253081681387573e-11,0.12551165488129543,2.3363364093993674e-11,0.13797408465236438,2.5018821323172482e-11,0.14775051046836257,4.45129189702038e-12,0.026287435428434914,0.03850986203251239,0.00061279162011268,0.26606504119995195
8.0,10.0,9.0,0.3132411946285373,0.7459415212630582,0.5800727192419257,6.03159341549794e-06,3.7705188984779197e-07,7.234913133894099e-11,6.019299506658105e-11,0.44332480153901954,1.6812905767869664e-11,0.12382799866646371,1.904349902140455e-11,0.14025644370967522,3.0060415871940536e-11,0.22139665729986702,6.6798343253307885e-12,0.049197356325519116,-0.03768763606708797,0.0005298811946821637,-0.44380598986984693
9.0,11.0,10.0,0.3007837951472507,0.7342131945197131,0.5903318036336722,5.5735353610673306e-06,3.638500222000364e-08,6.905782887928003e-11,6.189468612875424e-11,0.32206792139481427,1.873791385920386e-11,0.0975024084515918,3.0385496440767735e-11,0.15811040157583492,7.133993411714888e-11,0.3712161048164537,6.340199333716167e-12,0.03299111682044895,-0.012457399481286602,0.0008804349548654339,-0.6784491762582838
10.0,12.0,11.0,0.28992717795232614,0.7018656338623781,0.5869192563869353,5.382863901094845e-06,1.5974853565613175e-07,5.920967098783037e-11,3.755747158398796e-11,0.4069733051478054,9.864124600004354e-12,0.10688779679633806,1.514611355199303e-11,0.16412350545521076,2.2526937535203826e-11,0.24410222086059258,2.6237166622438193e-12,0.028430631689806505,-0.010856617194924534,0.0017666955928863242,-0.8829405916490574
11.0,13.0,12.0,0.3556065496694223,0.7474662119923448,0.5242506698442387,5.596837055833604e-06,6.744750669751854e-09,7.080554203995056e-11,9.095170065878951e-11,0.5623321760082091,1.4182987451488598e-11,0.08768995123921253,1.787113364741584e-11,0.11049285938463312,2.4872800292202286e-11,0.15378245607747257,8.91766496579217e-12,0.0551357468722765,0.06567937171709615,0.0017323592934105209,0.35417290726703793
12.0,14.0,13.0,0.3905872593626298,0.7710805582311954,0.493454665413158,5.843458256526638e-06,-1.038383448705689e-06,8.488198995797574e-11,8.09832689879763e-11,0.4865746107229789,1.0050706337562965e-11,0.060388010817601895,2.2295842739642687e-11,0.13396089263071242,2.790242864036284e-11,0.167647139014924,4.937072419693157e-12,0.02966358509286677,0.03498070969320749,0.004230894464597873,1.0130572271343625
13.0,15.0,14.0,0.3178344669609295,0.7330261913942197,0.5664077618339849,6.428958196156437e-06,-6.880173944860553e-07,1.2239728970647585e-10,9.072402101249976e-11,0.3998504714868497,1.3654917395507234e-11,0.06018169276200067,3.4229775529377886e-11,0.15086183054458138,7.645548642021505e-11,0.33696436678735225,5.2996920642899825e-12,0.02335747850450216,-0.0727527924017003,0.0030297717568771414,-0.3572887309795475
14.0,16.0,15.0,0.45644795823697004,0.7666494299936969,0.4046197122448486,6.938901658544416e-06,2.522690421467749e-07,1.5625481165375488e-10,2.5677283402925387e-10,0.7181381441525062,1.3597199038506161e-11,0.038028428202309665,2.8739178532930322e-11,0.08037727360891604,3.475687286742588e-11,0.09720746461330922,6.100561729218029e-12,0.01706195320494578,0.13861349127604056,0.004249373485522904,2.253586140480928
15.0,17.0,16.0,0.42625973246340443,0.7520962504941323,0.43323779079692404,6.1229849841646025e-06,9.618382709358121e-07,1.059070204996186e-10,1.1304450095113454e-10,0.5946207671036494,1.0200505961274236e-11,0.053655265214184324,2.0389361939704534e-11,0.10724925082894432,1.8534848383397742e-11,0.09749439973776267,4.400743423565678e-12,0.02314817092675839,-0.030188225773565613,0.004226794395105668,1.6849713587551203
16.0,18.0,17.0,0.3090309760370927,0.7076187901720217,0.563280426793122,5.562986424397818e-06,5.504247066454126e-09,6.250089954751405e-11,5.019935956437964e-11,0.4229411043898381,1.6508926930662675e-11,0.13909149138428653,1.4776257273016006e-11,0.12449335258516456,2.4071884945002683e-11,0.20281114523637783,6.770476542570334e-12,0.057042815904609176,-0.11722875642631175,0.0032699297328081934,-0.5231081834915905
17.0,19.0,18.0,0.3695711642125731,0.7099225465811817,0.47942044383244337,5.97710841624519e-06,1.2206659441967415e-06,8.339431493665316e-11,1.1578110610739244e-10,0.6287461045070761,1.2739827336080243e-11,0.06918328109789737,1.6674365073059327e-11,0.09054967979914226,2.3146741488564873e-11,0.12569774147319424,3.1703637067425935e-12,0.01721657269914221,0.0605401881754804,0.0025506313800678576,0.6172054653874899
18.0,20.0,19.0,0.41202792778417113,0.7316504902596224,0.4368514293785751,6.7911678694244555e-06,-2.3267861188629653e-07,1.0485312980689776e-10,1.7433482413454168e-10,0.6341049413249419,1.2652158904650293e-11,0.04601947155248557,5.045083958864842e-11,0.18350393752922844,2.5047590777631852e-11,0.09110515445912265,4.505387381145996e-12,0.016387365032490192,0.042456763571598055,0.002404449334165948,1.4169061013946593
19.0,21.0,20.0,0.33056767297389295,0.6829020833696786,0.5159369388027695,5.9393771288308736e-06,-8.269446449504993e-07,6.978121034885508e-11,6.801268088533308e-11,0.49623298157682977,1.4334627816261182e-11,0.10458807105472344,2.3373604878680204e-11,0.1705381038971437,1.605631530578023e-11,0.11714981843986154,4.983821179595622e-12,0.0363628725026456,-0.08146025481027819,0.0021334882195406047,-0.11745054996027961
20.0,22.0,21.0,0.2896911007902889,0.7054063000459374,0.5893273128246463,5.221091329656074e-06,4.927283739860728e-07,5.992905567951522e-11,4.01605762505285e-11,0.4036702243069747,1.1458348540274789e-11,0.1151725039149395,1.5627864962779364e-11,0.1570820028978354,1.7710747692912585e-11,0.1780179011686411,7.860018901758903e-12,0.07900423473351739,-0.04087657218360402,0.002116891659938843,-0.8873872578747944
21.0,23.0,22.0,0.36948888637515426,0.7255057865216445,0.49071545225486485,5.947652536793614e-06,-1.0833676707380949e-06,9.244195386569236e-11,1.0685819650127314e-10,0.5260287286283847,1.497044421781266e-11,0.07369470940681956,2.4820815469158784e-11,0.12218493697491685,3.65530255548528e-11,0.17993885532132284,5.221602464712208e-12,0.025704279089930903,0.07979778558486533,0.001757890328177903,0.6156557090382533
22.0,24.0,23.0,0.3672626232627304,0.7188441725010987,0.48909285584815804,5.6481032240531945e-06,-2.5065601477212987e-07,7.8969098096484e-11,1.058517764659001e-10,0.6289990118635194,9.418623272848183e-12,0.05596792920754386,1.7580582191758353e-11,0.10446842930561258,2.8809321309326372e-11,0.17119254150507876,3.757343907399209e-12,0.022327122736073023,-0.002226263112423854,0.0018424202563553254,0.5737226016330614
23.0,25.0,24.0,0.28008124402733225,0.711281805179214,0.6062302704948804,5.647542049436299e-06,-9.894591619233359e-08,6.911976270191826e-11,3.679783953291503e-11,0.3220733748358652,1.0514439550396303e-11,0.09202771340623786,2.4499859983168677e-11,0.21443521380452668,3.683254859368289e-11,0.3223771661584206,3.336861740143634e-12,0.029205908163369876,-0.08718137923539815,0.0013157775564922038,-1.0683951331527684
24.0,26.0,25.0,0.3475629325005425,0.687925172310118,0.4947663692354894,5.7534646530797164e-06,6.689088828121659e-07,7.431841271670437e-11,9.903228758921559e-11,0.5848025805453179,1.2669984623255586e-11,0.07481842420810883,1.9051027197525237e-11,0.11249957098198987,3.1060501231952455e-11,0.1834175672970607,4.078263599392969e-12,0.024082843435485418,0.06748168847321023,0.0010618514156137257,0.20266616900839096
25.0,27.0,26.0,0.33800852754279487,0.712404007075386,0.5255381438259834,5.510799540932658e-06,4.25697134183092e-07,6.710034384481788e-11,7.951410425859851e-11,0.600962704431592,1.4539601607519313e-11,0.10988941376985763,1.6205787109048916e-11,0.12248234120606978,1.5140530960399925e-11,0.1144312008206802,3.3155695991458556e-12,0.02505887089608249,-0.00955440495774762,0.0009149809201398482,0.022702764390990133
26.0,28.0,27.0,0.33994901419562473,0.6970313804116379,0.5122902300397654,5.960806774572902e-06,-3.294958570451092e-07,7.524508649789195e-11,8.073108583165061e-11,0.516492057758823,1.9572214090342668e-11,0.12521686072075752,2.2429124710096966e-11,0.14349447497094803,2.7566340626170132e-11,0.1763607642362383,3.1795590565644202e-12,0.020341817318240855,0.0019404866528298648,0.00016859719362231034,0.059253087116709305
27.0,29.0,28.0,0.35698418990262204,0.7203399967678409,0.5044226455501473,6.350942005667513e-06,7.039098335495162e-07,7.90234885364688e-11,8.112797381105282e-11,0.5058191434766401,3.231581328335669e-11,0.20148360951067595,2.480459944170851e-11,0.15465246639965757,1.3912634001276058e-11,0.08674291102621723,3.239559368170817e-12,0.020198102674994237,0.017035175706997308,0.0005639820692263791,0.38012165319113617
28.0,30.0,29.0,0.32187288903083355,0.7247761174829492,0.5559002548971189,6.2812764005802365e-06,-3.050950485978635e-07,7.709378692020678e-11,6.83295499349915e-11,0.4165784477224754,3.022990564225154e-11,0.18429986995709915,3.07520107718316e-11,0.1874829400144218,2.3341898579407175e-11,0.14230639432509098,4.085310581266531e-12,0.024906535196373335,-0.03511130087178849,0.0005867194659343579,-0.2812224360929513
29.0,31.0,30.0,0.38444524991818985,0.7022794516388793,0.4525751123416376,6.7175996516929386e-06,1.7223559772263952e-07,7.89381031529206e-11,1.3361236402446693e-10,0.6463489306275214,1.7509778090181638e-11,0.08470343614339218,1.6526056432888783e-11,0.07994468910775154,2.018035478105745e-11,0.0976223332896943,2.7459332206428577e-12,0.013283433862543529,0.0625723608873563,0.0007112063617467888,0.8973685018080063
